year,count,name,percentage,total_per_year
1951,15406,Jerry,0.0043951454269347727,3505231
1951,15245,Terry,0.0043492140746216159,3505231
1951,15202,Carolyn,0.0043369466948112688,3505231
1951,15112,Elizabeth,0.0043112707835803116,3505231
1951,15023,Christine,0.0042858801602519208,3505231
1951,14929,Judith,0.0042590630974106989,3505231
1951,14103,Gregory,0.0040234152898910224,3505231
1951,14080,Bruce,0.004016853668132,3505231
1951,14013,Judy,0.0039977393786600653,3505231
1951,13949,Shirley,0.0039794809528958287,3505231
1951,13889,Douglas,0.0039623636787418579,3505231
1951,13472,Joyce,0.0038433986233717549,3505231
1951,12832,Betty,0.0036608143657293913,3505231
1951,12713,Timothy,0.0036268651053240142,3505231
1951,12417,Roger,0.0035424198861644211,3505231
1951,11986,Cheryl,0.0034194608001583918,3505231
1951,11482,Frank,0.0032756756972650305,3505231
1951,11229,Raymond,0.0032034978579157836,3505231
1951,10957,Gloria,0.0031258995484177792,3505231
1951,10934,Rebecca,0.0031193379266587565,3505231
1951,10876,Beverly,0.0031027912283099176,3505231
1951,10570,Catherine,0.0030154931301246621,3505231
1951,10407,Kathy,0.0029689912020063728,3505231
1951,10251,Lawrence,0.0029244862892060467,3505231
1951,10013,Gail,0.0028565877683952925,3505231
